Station_ID,Station_Name,Q_Median_Posterior_V2,Progowa_Anomalia_95%,Progowe_Ekstremum_99%
20,BIALOBRZEGI,33.25339443016643,84.71147837285075,124.87067327555756
68,BOCHENIEC,1.4136251453180204,4.943371228868367,8.297619249592728
63,BORKOWO,10.306810608365552,45.926552196598855,85.25037811521926
65,BRODNICA,14.614080768620518,30.63315647711449,41.63918816356957
58,BRZEGI,9.436038587974377,26.055680829951722,39.67740295615697
59,BURZYN,19.50966533266086,98.31236376862293,192.15046175670736
57,CHMELNICA,12.47833574632711,34.08512134911802,51.678687970733804
51,CISNA,0.9925468997529749,6.718560533546132,14.839512307846402
27,DALESZYCE,0.7752505553077129,2.7783138753079255,4.715404755490821
33,DOBRYLAS,12.856955514572814,27.907149925142505,38.46850080722742
53,ELGISZEWO,17.888977662668527,44.054535466890954,64.01613256780499
1,FRANKOPOL,101.38259708036497,386.4658505063197,673.1053508136961
5,GOLKOWICE,35.775662723122565,70.02716338597246,92.48966815619664
43,HARASIUKI,10.50069504979352,32.75793959038623,52.47483089719407
62,JAGODNIKI,110.06607309925391,284.81115740383484,422.2981286937395
66,JELEN,13.234046642131243,23.482030128066768,29.782455769529893
19,JORDANOW,0.6800097967777805,3.562515203928843,7.070699694715231
44,KARSY,191.03098690747586,476.35790128401584,696.3871366868893
29,KEPA POLSKA,835.5376002709122,2266.3771744603823,3427.0452879909844
3,KOSMIN,39.79558394660726,94.79440408465176,135.7306890784096
13,KRASNYSTAW,11.858830144985369,23.820740746600432,31.808225117303433
23,KRYLOW,26.540604363004483,101.43056332356282,177.00918511504022
69,KUNOW,4.519508052599329,13.703811496785054,21.717529148850772
26,LEZACHOW,65.13367522296932,218.45968769388725,360.28209028564476
52,LOCHOW,4.620580285785488,17.045125015261824,29.260420377134157
55,LOWICZ,6.691060622196877,38.464733826715474,79.39176164565428
31,LUBARTOW,20.37737262286155,46.344465707288734,65.12998543474708
2,MALOWA GORA,5.707922381292811,23.760403345274938,42.94007464934667
46,MIELEC 2,27.032636630495123,112.73481993834864,203.72629113766303
15,MODLIN,782.7975846591478,2159.494809473346,3288.4350326336726
30,MYSZYNIEC,0.2990948149075068,4.041339773735308,11.86759548911406
22,NIETULISKO DUZE,1.4662938840864643,4.922697813244767,8.135719631995526
36,NOWY SACZ,46.76940734663818,112.2784902427511,161.5674208390064
34,NOWY TARG,7.7737482636673585,18.261012115811514,26.01755470835286
47,OJCOW,0.4663479592331798,0.7124950677389341,0.8491350605248152
16,OSIELEC,2.341200753085304,9.710633680663477,17.486699390730983
67,OSTROLEKA,55.74955900063779,171.42797106605354,273.2140292345267
37,PIATNICA-LOMZA,46.273273593983696,211.25226701016402,396.386243759484
21,PINCZOW,18.23132284137779,47.561076096466785,70.71843979265003
4,POLANA,0.922263825950889,3.769648454936693,6.745434682344518
24,PRZEDBORZ,11.254314317403814,29.8108010913774,44.63014363166212
28,PRZEMYSL,44.36735050721844,153.97591998619887,257.6936419221462
60,PTAKI,9.394883194970484,20.186901875172293,27.706948912326393
32,PUCHACZOW,0.8191979642042676,4.093942334715727,7.969803468254139
17,PULAWY-AZOTY,436.9977734608644,1148.3517763562918,1715.2949772083698
10,RADOMYSL NAD SANEM,85.25188270054555,276.7977472479878,451.4412428717213
48,RAJCZA,3.4196639979411496,16.528705770677988,31.788326205087145
38,ROGOZEK,5.272930077648034,17.343991005700452,28.42158367696466
9,RZUCHOW,86.45544115241964,295.97103427573944,492.938164471513
14,SANDOMIERZ,220.6947113734759,565.2151736078131,834.372300307489
39,STARY SACZ,21.09533128828312,54.32407452027725,80.45637002189491
8,STREKOWA GORA,22.333853153796795,93.89981256211433,170.4143779044315
41,SURAZ,7.155135495878891,30.45347664525918,55.49828600613016
49,SZCZUCIN,173.1917652465556,435.0538533614419,637.3714253609248
61,TCHORZEW,6.005581879484536,33.644992696173475,68.67293324126243
54,TCZEW,716.8342557451895,1765.487109322496,2565.2300321174357
7,TRYNCZA,14.41046386620441,60.02467062238119,108.37325245580499
18,TUCHOLA,16.54904919965611,26.009093926225454,31.371200426810304
6,USTRON OBLAZIEC,1.515920810854389,6.885979335018042,12.894639339602959
25,WADOWICE,11.260683248662268,29.150569830630694,43.21435833236224
12,WARSZAWA-NADWILANOWKA,535.3952718653957,1367.4443692184,2015.9492195253802
40,WISLA,0.7902070099161249,3.986556963538825,7.803869855845867
50,WLOCLAWEK,839.3020095196775,2254.1769578876156,3394.8718486434764
11,WLODAWA,48.39869013730281,195.40782384671974,348.17133659276897
35,WYSZKOW,97.36372909131356,332.9070014165209,554.152476630838
56,ZABNO,78.87309750126755,206.76332323679367,308.19117907699024
45,ZAKOPANE  HARENDA,1.8456309825832884,4.042290207973233,5.591199752941879
42,ZAMBSKI KOSCIELNE,86.30889386351947,300.5582390125105,504.01406505664556
64,ZAWADY,0.5052855522010645,1.7574414828416436,2.945317879097669
